Order ID,Customer ID,Customer Name,Product ID,Product Name,Category,Sub Category,Brand,Supplier,Store,City,State,Country,Sales Representative,Payment Method,Currency,Order Date,Ship Date,Quantity,Unit Price,Discount %,Tax %,Order Status,Shipping Method,Customer Type
O10114,C1150,mArIa Cruz,P5183,Puma Travel,Fashion,Bag,Puma,ABC Supply,North Hub,LOS ANGELES,California,USA,John Cruz,Cash,USD,2024-10-10,2024-10-16,-7,3774.66,10,12,Pending,Same Day,VIP
O10115,C1039, maria  santos ,P5009,Nike Runner,Fashion,Shoes,Nike,ABC Supply,North Hub,Manilaa,NCR,Philippines,Maria Santos,GCash,PHP,2025-01-10,2025-01-16,2,680.95,5,12,Returned,Express,Wholesale
O10116,C1042,PEDRO REYES,P5032,Lenovo ThinkPad,Electronics,Laptop,Lenovo,Prime Goods,North Hub,MANILA,NCR,Philippines,John Cruz,PayPal,PHP,2024-05-04,2024-05-08,9,1576.51,10,12,Returned,Same Day,VIP
O10117,C1043, maria  santos ,P5022,Lenovo ThinkPad,Electronics,Laptop,Lenovo,ABC Supply,Online Store,Cebu City,Cebu,Philippines,John Cruz,PayPal,PHP,2025-05-23,2025-05-26,3,-100,0,12,Pending,Same Day,Wholesale
O10118,C1123,Juan Dela Cruz,P5193,Lenovo ThinkPad,Electronics,Laptop,Lenovo,ABC Supply,Online Store,Manilaa,NCR,Philippines,John Cruz,GCash,PHP,2025-04-29,2025-05-05,3,4375.18,15,12,Completed,Express,Wholesale
O10119,C1133,PEDRO REYES,P5085,Nike Runner,Fashion,Shoes,Nike,Prime Goods,North Hub,LOS ANGELES,California,USA,Maria Santos,Cash,USD,2024-11-21,2024-11-25,8,4292.16,10,12,Completed,Express,VIP
O10005,C1116,mArIa Cruz,P5152,Lenovo ThinkPad,Electronics,Laptop,Lenovo,Prime Goods,Online Store,Manila,NCR,Philippines,John Cruz,cash,PHP,2024-05-28,2024-05-31,3,2170.65,15,12,Returned,Express,Retail
O10121,C1051,PEDRO REYES,P5120,Philips Hue,Home,Lamp,Philips,Prime Goods,North Hub,Los Angeles,California,USA,Maria Santos,CASH,USD,2024-07-20,2024-07-25,10,4900.84,15,12,Returned,Express,VIP
O10122,C1070,mArIa Cruz,P5065,Nike Runner,Fashion,Shoes,Nike,Prime Goods,North Hub,CEBU CITY,Cebu,Philippines,John Cruz,GCash,PHP,2024-03-07,2024-03-12,7,4911.2,10,12,Pending,Same Day,Retail
O10123,C1042, maria  santos ,P5137,Lenovo ThinkPad,Electronics,Laptop,Lenovo,ABC Supply,North Hub,Cebu City,Cebu,Philippines,Maria Santos,GCash,PHP,2024-09-23,2024-09-26,8,4457.03,10,12,Completed,Express,VIP
O10124,C1014,Juan Dela Cruz,P5184,Puma Travel,Fashion,Bag,Puma,ABC Supply,North Hub,Cebu City,Cebu,Philippines,Maria Santos,Cash,PHP,2024-04-27,2024-05-03,3,2486.93,5,12,Pending,Standard,Retail
O10125,C1129,Juan Dela Cruz,P5149,Samsung Galaxy,Electronics,Phone,Samsung,Prime Goods,North Hub, Los Angeles ,California,USA,John Cruz,cash,USD,2024-01-16,2024-01-19,4,1588.09,0,12,Completed,Standard,VIP
O10126,C1011,mArIa Cruz,P5041,IKEA Ergo,Home,Chair,IKEA,ABC Supply,Online Store,MANILA,NCR,Philippines,Maria Santos,Cash,PHP,2025-06-04,2025-06-08,3,4069.69,5,12,Pending,Express,VIP
O10127,C1101, maria  santos ,P5097,Puma Travel,Fashion,Bag,Puma,Prime Goods,North Hub,cebu city,Cebu,Philippines,John Cruz,cash,PHP,2024-04-22,2024-04-29,6,4234.82,15,12,Completed,Same Day,Retail
O10128,C1126,PEDRO REYES,P5030,Puma Travel,Fashion,Bag,Puma,Prime Goods,North Hub,Cebu City,Cebu,Philippines,John Cruz,Cash Payment,PHP,2024-09-25,2024-10-01,3,4165.03,0,12,Returned,Same Day,Wholesale
O10129,C1122,mArIa Cruz,P5138,Lenovo ThinkPad,Electronics,Laptop,Lenovo,Prime Goods,North Hub, Cebu City ,Cebu,Philippines,Maria Santos,CASH,PHP,2025-02-06,2025-02-09,10,3282.29,5,12,Returned,Same Day,Wholesale
O10130,C1029,mArIa Cruz,P5084,IKEA Ergo,Home,Chair,IKEA,ABC Supply,North Hub,Los Angeles,California,USA,John Cruz,CASH,USD,2025-01-26,2025-01-29,9,829.48,10,12,Completed,Standard,Wholesale
O10131,C1024,PEDRO REYES,P5095,Puma Travel,Fashion,Bag,Puma,Prime Goods,North Hub,MANILA,NCR,Philippines,Maria Santos,Cash,PHP,2024-07-16,2024-07-19,5,2807.87,15,12,Completed,Same Day,Retail
O10132,C1144,PEDRO REYES,P5032,Lenovo ThinkPad,Electronics,Laptop,Lenovo,ABC Supply,Online Store, Manila ,NCR,Philippines,John Cruz,Credit Card,PHP,2025-02-09,2025-02-16,6,3356.19,10,12,Completed,Same Day,VIP
O10133,C1072,Juan Dela Cruz,P5087,Puma Travel,Fashion,Bag,Puma,Prime Goods,Online Store,MANILA,NCR,Philippines,John Cruz,GCash,PHP,2025-03-26,2025-03-27,2,1145.12,0,12,Completed,Express,VIP
O10134,C1038, maria  santos ,P5029,Philips Hue,Home,Lamp,Philips,Prime Goods,Online Store,Los Angeles,California,USA,John Cruz,Cash,USD,2024-05-18,2024-05-23,10,1020.4,5,12,Returned,Same Day,VIP
O10135,C1114,mArIa Cruz,P5137,Lenovo ThinkPad,Electronics,Laptop,Lenovo,ABC Supply,Online Store,LOS ANGELES,California,USA,John Cruz,CASH,USD,2025-04-17,2025-04-18,10,2101.34,0,12,Returned,Express,Retail
O10136,C1044,Juan Dela Cruz,P5164,Samsung Galaxy,Electronics,Phone,Samsung,Prime Goods,North Hub,Los Angeles,California,USA,Maria Santos,PayPal,USD,2025-03-31,2025-04-02,1,2469.68,0,12,Pending,Express,Wholesale
O10137,C1133,mArIa Cruz,P5069,Philips Hue,Home,Lamp,Philips,ABC Supply,Online Store,CEBU CITY,Cebu,Philippines,Maria Santos,Cash,PHP,2024-08-26,2024-09-01,6,2009.2,15,12,Returned,Same Day,Wholesale
O10138,C1004,PEDRO REYES,P5112,IKEA Ergo,Home,Chair,IKEA,Prime Goods,North Hub,Manilaa,NCR,Philippines,John Cruz,Credit Card,PHP,2024-01-06,2024-01-08,1,302.25,0,12,Pending,Standard,Wholesale
O10139,C1016,Juan Dela Cruz,P5030,Nike Runner,Fashion,Shoes,Nike,ABC Supply,North Hub,Manila,NCR,Philippines,John Cruz,Cash,PHP,2025-03-16,2025-03-19,9,1119.87,10,12,Returned,Express,Retail
O10140,C1043,Juan Dela Cruz,P5106,Samsung Galaxy,Electronics,Phone,Samsung,Prime Goods,North Hub, Manila ,NCR,Philippines,John Cruz,Cash Payment,PHP,2024-05-12,2024-05-19,6,1153.93,5,12,Returned,Same Day,VIP
O10141,C1008, maria  santos ,P5107,Lenovo ThinkPad,Electronics,Laptop,Lenovo,ABC Supply,Online Store,Cebu City,Cebu,Philippines,Maria Santos,GCash,PHP,2024-09-29,2024-10-06,1,1085.95,10,12,Returned,Same Day,VIP
O10142,C1026,PEDRO REYES,P5051,Samsung Galaxy,Electronics,Phone,Samsung,Prime Goods,North Hub, Cebu City ,Cebu,Philippines,John Cruz,GCash,PHP,2024-10-22,2024-10-29,1,1372.81,5,12,Completed,Express,VIP
O10143,C1049,mArIa Cruz,P5065,Nike Runner,Fashion,Shoes,Nike,Prime Goods,North Hub, Cebu City ,Cebu,Philippines,John Cruz,Cash Payment,PHP,2024-03-31,2024-04-03,2,2524.69,15,12,Returned,Same Day,Wholesale
O10144,C1025,PEDRO REYES,P5078,Puma Travel,Fashion,Bag,Puma,ABC Supply,Online Store,cebu city,Cebu,Philippines,Maria Santos,cash,PHP,2024-10-19,2024-10-26,3,1801.29,15,12,Pending,Standard,Retail
O10145,C1093, maria  santos ,P5167,Nike Runner,Fashion,Shoes,Nike,Prime Goods,Online Store,Cebu City,Cebu,Philippines,John Cruz,Cash Payment,PHP,2025-01-13,2025-01-20,2,3711.55,5,12,Pending,Standard,Wholesale
O10146,,Juan Dela Cruz,P5152,Philips Hue,Home,Lamp,Philips,ABC Supply,Online Store,Cebu City,Cebu,Philippines,John Cruz,CASH,PHP,2025-02-15,2025-02-18,9,-100,15,12,Completed,Standard,Wholesale
O10147,C1076,mArIa Cruz,P5071,Puma Travel,Fashion,Bag,Puma,Prime Goods,North Hub,Manila,NCR,Philippines,Maria Santos,Cash Payment,PHP,2025-03-29,2025-03-31,9,1203.63,5,12,Pending,Express,VIP
O10148,C1093, maria  santos ,P5171,Nike Runner,Fashion,Shoes,Nike,ABC Supply,Online Store,Los Angeles,California,USA,Maria Santos,cash,USD,2024-09-07,2024-09-11,10,3289.47,0,12,Completed,Standard,Retail
O10149,C1079,Juan Dela Cruz,P5154,Philips Hue,Home,Lamp,Philips,ABC Supply,Online Store,los angeles,California,USA,John Cruz,CASH,USD,2024-03-07,2024-03-10,2,2298.95,10,12,Pending,Express,Wholesale
